imdbID,Title,Type,Year,Released,Runtime (min),Genre,Director,Writer,Actors,Plot,Language,Country,imdbVotes,imdbRating
tt0029387,Think It Over Jack,movie,1936,24-Mar-40,75,Drama,Gennaro Righelli,"Guglielmo Giannini, Luigi Pirandello","Angelo Musco, Dria Paola, Amelia Chellini","An old teacher got married with a young girl, the school caretaker's daughter, to save her from the dishonour caused by a guy. However he wants her to stay with her beloved guy....",Italian,Italy,14,6
tt0030213,Happy Landing,movie,1938,23-Jan-38,102,"Comedy, Music, Romance",Roy Del Ruth,"Milton Sperling, Boris Ingster","Sonja Henie, Don Ameche, Jean Hersholt",Bandleader (Romero) and manager (Ameche) discover skater (Henie) in Norway. They become rivals as she returns with them to America.,English,United States,191,6.4
tt0030622,La principessa Tarakanova,movie,1938,15-Sep-39,95,Drama,"Fyodor Otsep, Mario Soldati","Jacques Companéez, Hans Jacoby, Henri Jeanson","Annie Vernay, Pierre Richard-Willm, Roger Karl","The favorite of Russian empress Catherine The Great, Count Orloff, is tasked with romancing a princess with claims to the throne, so that the empress can dispose of her more easily. Tragedy ensues.",Italian,"Italy, France",28,5.5
tt0032611,How High Is Up?,movie,1940,26-Jul-40,17,"Comedy, Short",Del Lord,Elwood Ullman,"Moe Howard, Larry Fine, Curly Howard","The stooges are the 'Minute Menders', three tinkers who live under their car. The boys decide to drum up some business by punching holes in the unattended lunch boxes of some workmen. When they're caught in the act, they escape an...",English,United States,574,7.8
tt0032762,The Mark of Zorro,movie,1940,08-Nov-40,94,"Action, Adventure, Family",Rouben Mamoulian,"John Taintor Foote, Garrett Fort, Bess Meredyth","Tyrone Power, Linda Darnell, Basil Rathbone",A young Spanish aristocrat must masquerade as a fop in order to maintain his secret identity of Zorro as he restores justice to early California.,"English, Spanish",United States,"11,246",7.5
tt0032816,Mrs. Ladybug,movie,1940,21-Dec-40,7,"Animation, Short",Rudolf Ising,Maurice Day,"Sara Berner, Mel Blanc, Jeanne Dunne","A hungry spider disguises himself as a maid in order to get into Mrs. Ladybug's house to eat her children. The children have different ideas, though.",English,United States,45,5.6
tt0033678,The Great Mr. Nobody,movie,1941,15-Feb-41,71,"Comedy, Drama, Romance",Benjamin Stoloff,"Ben Markson, Kenneth Gamet, Harold Titus","Eddie Albert, Joan Leslie, Alan Hale","Perpetual optimist ""Dreamy"" Smith aspires to quit his job as newspaper publicity drudge and sail the world. But life--and his editor--conspire against him. Not only does the car he intends using as the boat's down payment roll int...",English,United States,226,5.8
tt0033683,The Gunman from Bodie,movie,1941,26-Sep-41,62,"Drama, Western",Spencer Gordon Bennet,Adele Buffington,"Buck Jones, Tim McCoy, Raymond Hatton",Buck poses as a wanted killer and Sandy as a cook as the trio help ranchers stop a ruthless crook from taking over the area s water rights and help an orphaned baby.,English,United States,146,5.9
tt0033785,King of Dodge City,movie,1941,14-Aug-41,63,Western,Lambert Hillyer,Gerald Geraghty,"Bill Elliott, Tex Ritter, Judith Linden","Wild Bill Hickok is sent to Abilene to take on Morgan King and his gang. When he breaks into King's bank to get proof of King's thievery, Sheriff Tex puts him in jail. His friend Cannonball, having lost Bill's letter of authority,...",English,United States,39,7.4
tt0034620,Crazy Cruise,movie,1942,14-Mar-42,6,"Animation, Short, Adventure","Tex Avery, Robert Clampett",Michael Maltese,"Mel Blanc, Robert C. Bruce","A travelogue, stopping in a southern tobacco plantation, the Swiss Alps, Egypt, Central Europe, Africa, and others, long enough for one joke per location. Bugs Bunny makes only a cameo appearance at the end.",English,United States,344,5.9
tt0034944,King of the Mounties,movie,1942,17-Oct-42,196,"Action, Adventure, Western",William Witney,"Taylor Caven, Ronald Davidson, William Lively","Allan Lane, Gilbert Emery, Russell Hicks","The chapter-crunched version of this 196 minutes, 12-episode serial from Republic finds Canada being bombed mercilessly by a mysterious-enemy plane (shaped like a boomerang) called the Falcon, under the supervision of Admiral Yama...",English,United States,58,6.5
tt0035547,What Makes Lizzy Dizzy?,movie,1942,26-Mar-42,18,"Short, Comedy, Crime",Jules White,"Philip L. Leslie, Ewart Adamson","Harry Langdon, Elsie Ames, Dorothy Appleby","This Columbia short (production number 3431) has Harry Langdon and Elsie Ames billed above the title, but it is all Elsie Ames with Langdon and Monty Collins (if his name is Monte, how come---except for typos--- he is always bille...",English,United States,15,4
tt0035586,The Young Mr. Pitt,movie,1942,21-Sep-42,118,"Biography, Drama, Romance",Carol Reed,"Viscount Castlerosse, Sidney Gilliat, Frank Launder","Robert Donat, Geoffrey Atkins, Jean Cadell","This biopic tells the story of the life of Pitt The Younger, who became Prime Minister of Great Britain at the age of twenty-four.",English,United Kingdom,432,6.8
tt0036792,Der Engel mit dem Saitenspiel,movie,1944,19-Dec-44,101,Romance,Heinz Rühmann,"Alois Johannes Lippl, Helmut Weiss, Curt J. Braun","Hertha Feiler, Hans Söhnker, Hans Nielsen","A man meets a girl in an Alpine Lodge and decide to make the relation permanent, but they lose each other, each thinking the other to be disloyal. When the meet again, both are engaged, to others, and she is mother of his child.",German,Germany,93,7.8
tt0036868,The Best Years of Our Lives,movie,1946,29-May-47,170,"Drama, Romance, War",William Wyler,"Robert E. Sherwood, MacKinlay Kantor","Myrna Loy, Dana Andrews, Fredric March","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",English,United States,"72,322",8.1
tt0037509,Along the Navajo Trail,movie,1945,15-Sep-45,66,"Drama, Horror, Western",Frank McDonald,"Gerald Geraghty, William Colt MacDonald","Roy Rogers, Trigger, George 'Gabby' Hayes",U.S. Deputy Marshal Roy investigates the disappearance of a government agent who has come to Dale's father's Ladder A Ranch. The bad guys want the land the ranch sits on because they know an oil pipeline is planned through this lo...,English,United States,127,5.8
tt0037703,Flame of the West,movie,1945,25-Jun-45,71,Western,Lambert Hillyer,"Adele Buffington, Bennett Foster","Johnny Mack Brown, Raymond Hatton, Joan Woodbury","John Poole, a lawman turned peace-loving doctor, refuses to use force to tame the lawless element of the town. Tom Nightlander, newly-appointed sheriff, who uses both his fists and guns against the gangs is murdered in an ambush. ...",English,United States,110,6.2
tt0037866,Leave It to Blondie,movie,1945,22-Feb-45,74,"Comedy, Family",Abby Berlin,"Connie Lee, Chic Young","Penny Singleton, Arthur Lake, Larry Simms",Dagwood and Blondie have each written checks for charity unaware of it. To cover the amounts they enter a song-writing contest. Meanwhile Mr. Dithers wants Dagwood to soften up a female client in order to close a real estate deal.,English,United States,200,6.5
tt0037929,Mouse in Manhattan,movie,1945,07-Jul-45,8,"Animation, Short, Comedy","Joseph Barbera, William Hanna",Jerry Mann,"Billy Bletcher, William Hanna, Harry Lang","Jerry Mouse gets tired of living the country life and decides to head to the big city. However, the experience doesn't turn out quite like Jerry had expected.",English,United States,"1,769",7.8
