imdbID,Title,Type,Year,Released,Runtime (min),Genre,Director,Writer,Actors,Plot,Language,Country,imdbVotes,imdbRating
tt0070598,The Red Pony,movie,1973,18-Mar-73,101,"Drama, Family, Western",Robert Totten,"Ron Bishop, John Steinbeck, Robert Totten","Henry Fonda, Maureen O'Hara, Ben Johnson",A young farmboy who can't seem to communicate with his father develops an attachment to a young red pony.,"English, Spanish",United States,296,6.4
tt0070744,Suburban Wives,movie,1972,05-May-72,87,Comedy,Derek Ford,Derek Ford,"Eva Whishaw, Peter May, Maggie Wright","Seven stories of marital infidelity, told from the women's point of view.",English,United Kingdom,56,5.2
tt0070876,Los viajes escolares,movie,1976,01-Oct-76,92,Drama,Jaime Chávarri,Jaime Chávarri,"Bruce Robinson, Maribel Martín, Ramiro Oliveros","After completing his high-school studies at age 24, Óscar is an immature student, unable to afford to return home for the summer until he manages to convince his young math teacher Carlos to accompany him. Once he does get home, Ó...",Spanish,Spain,57,5.7
tt0071093,Abigail Lesley Is Back in Town,movie,1975,01-Sep-75,100,"Drama, Romance",Joseph W. Sarno,Joseph W. Sarno,"Mary Mendum, Jennifer Jordan, Eric Edwards","A seductive woman who left her small fishing town long ago after being caught with another woman's husband, returns to shake up the place by seducing everyone, including the woman and her girlfriends.",English,United States,494,5.7
tt0071143,Beautiful People,movie,1974,11-Nov-74,92,"Comedy, Documentary",Jamie Uys,Jamie Uys,Paddy O'Byrne,Hilarious documentary on the wildlife of the Namib Desert.,English,South Africa,"4,235",8.2
tt0071436,Dost,movie,1974,12-Apr-74,164,Drama,Dulal Guha,"Shafiq Ansari, Sachin Bhowmick","Dharmendra, Hema Malini, Shatrughan Sinha","Maanav is an orphan who was brought up by a Catholic Priest, Father Francis. After completing his M.A. he returns home to Taran Devi and finds out that his mentor his dead. He re-locates to Bombay by train, and a man named Gopicha...",Hindi,India,265,6.9
tt0071817,The Mark of Zorro,movie,1974,29-Oct-74,78,"Action, Adventure, Western",Don McDougall,"Brian Taggert, John Taintor Foote, Johnston McCulley","Frank Langella, Ricardo Montalban, Gilbert Roland","When Don Diego returns to California only to find the people overrun and overtaxed by corrupt politicians, he takes matters into his own hands as the masked crusader Zorro.",English,United States,665,5.8
tt0072031,Trinity Plus the Clown and a Guitar,movie,1975,04-Apr-75,92,"Action, Comedy, Western",Franz Antel,"Oreste Coltellacci, Michele Massimo Tarantini","George Hilton, Rinaldo Talamonti, Piero Lulli","A town awaits the arrival of a gunslinger to help defeat a gang of bandits, but a trio of misfits is mistaken for the anticipated relief.","German, Italian","Austria, Italy, West Germany",65,4.8
tt0072046,Hard to Remember,movie,1974,01-Jan-84,92,Drama,Adrian Hoven,Günter Vaessen,"Rutger Hauer, Dagmar Lassander, Shirley Corrigan","When Rick (Rutger Hauer) returns home after months at sea, his wife appears to have left him. He seeks comfort in drinks and women.",German,West Germany,144,5
tt0072747,Bucktown,movie,1975,02-Jul-75,94,"Action, Crime, Drama",Arthur Marks,Robert T. Ellison,"Fred Williamson, Pam Grier, Thalmus Rasulala","After being hassled by The Man in a southern town, a cool operator asks some violent friends for help. After all, if you can't trust another brother, who can you trust?",English,United States,"1,654",6.2
tt0072888,Docteur Justice,movie,1975,17-Dec-75,112,Action,Christian-Jaque,"Christian-Jaque, Raphael Marcello, Jean Ollivier","John Phillip Law, Gert Fröbe, Nathalie Delon","Doctor Justice is a crusading physician with the World Health Organization and also a swimming champion, karate expert and philosopher must investigate a series of pirate attacks.",French,"France, Spain",159,4.5
tt0073170,The School Teacher,movie,1975,11-Jul-75,89,Comedy,Nando Cicero,"Tito Carpi, Francesco Milizia","Edwige Fenech, Vittorio Caprioli, Alfredo Pea",Edwige Fenech plays the sexy private teacher of Franco (Alfredo Pea) who immediately falls madly in love with her. Franco tries and tries to seduce her by faking his own suicide.,Italian,Italy,940,4.8
tt0073728,Cirkus v cirkuse,movie,1975,01-Feb-76,131,"Comedy, Family",Oldrich Lipský,"Oldrich Lipský, Yakov Kostyukovskiy, Milos Macourek","Evgeniy Leonov, Natalya Varley, Aleksandr Lenkov",To Moscow have arrived the participants of the international conference of the zoophilologists and also the international jury which is to elect for the world festival the best performance of the program of Moscow circus. Mrs Whis...,"Russian, Czech","Czechoslovakia, Soviet Union",103,5.7
tt0074205,The Big Bus,movie,1976,22-Oct-76,88,"Action, Comedy",James Frawley,"Fred Freeman, Lawrence J. Cohen","Joseph Bologna, Stockard Channing, John Beck","A nuclear powered bus driving cross-country, from New York City to Colorado, is destined for disaster due to the machinations of a mysterious group allied with the oil lobby.",English,United States,"3,810",5.6
tt0074652,Hra o jablko,movie,1977,01-Feb-78,100,"Comedy, Drama",Vera Chytilová,"Vera Chytilová, Kristina Vlachová","Dagmar Bláhová, Jirí Menzel, Jirí Kodet",A young gynecologist can't figure out whether to get serious with a young nurse or to stay casual with his married lover. Things get complicated when both women don't want to play his game anymore.,Czech,Czechoslovakia,295,6.9
tt0076116,La guerra de papá,movie,1977,19-Sep-77,91,Comedy,Antonio Mercero,"Horacio Valcárcel, Antonio Mercero, Miguel Delibes","Lolo García, Teresa Gimpera, Héctor Alterio","Spain, March 1964: Quico is a very naughty child of three belonging to a wealthy middle-class family. Since Cristina's birth, he feels he has lost the privileged position of ""prince"" of the house for his eight months old sister. S...",Spanish,Spain,261,5.8
tt0076202,Intimate Strangers,movie,1977,11-Nov-77,100,Drama,John Llewellyn Moxey,"Richard Alan Shapiro, Esther Shapiro","Dennis Weaver, Sally Struthers, Tyne Daly","The pressures of problems at home and at work are taking a tremendous toll on a middle-aged husband, and he begins to take it out on his wife.",English,United States,187,6.5
tt0076370,Mary Jane Harper Cried Last Night,movie,1977,05-Oct-77,100,Drama,Allen Reisner,Joanna Lee,"Susan Dey, John Vernon, Kevin McCarthy",A disturbed young mother with some serious psychological problems begins to take them out on her infant daughter.,English,United States,238,7.1
tt0076729,Smokey and the Bandit,movie,1977,27-May-77,96,"Action, Adventure, Comedy",Hal Needham,"Hal Needham, Robert L. Levy, James Lee Barrett","Burt Reynolds, Sally Field, Jerry Reed","The Bandit is hired on to run a tractor-trailer full of beer over state lines, in hot pursuit by a pesky sheriff.",English,United States,"58,726",7
tt0077364,Heart to Heart,movie,1979,03-Jan-79,110,"Comedy, Drama",Pascal Thomas,"Jacques Lourcelles, Pascal Thomas","Daniel Ceccaldi, Henri Crémieux, Jacques François","This is the story of a generation of women, told with verve by Pascal Thomas through the story of the three Roussel sisters, suburbanites who became Parisians in the 1960s.",French,France,142,6.6
tt0077418,The Defection of Simas Kudirka,movie,1978,23-Jan-78,100,Drama,David Lowell Rich,Bruce Feldman,"Alan Arkin, Richard Jordan, Donald Pleasence","Based on the true story of the attempted defection in 1970 by a Lithuanian seaman seeking political asylum in the United States. Kudirka was denied asylum and returned to the Soviets, charged with treason, and sentenced to ten yea...",English,United States,157,7.1
tt0077445,Doctors' Private Lives,movie,1978,20-Mar-78,100,Drama,Steven Hilliard Stern,"Peggy Elliott, James S. Henerson, Worley Thorne","John Gavin, Donna Mills, Ed Nelson",Two heart surgeons clash over personal issues and medical ethics in a big-city hospital.,English,United States,32,5.6
tt0077653,Hanging on a Star,movie,1978,17-Feb-79,92,Comedy,Mike MacFarland,"Stu Krieger, David Talisman, Tedd Anasti","Lane Caudell, Deborah Raffin, Danil Torppe",A story of a struggling rock band that is trying to get on the road to stardom.,English,United States,23,5.4
tt0077985,The New Maverick,movie,1978,03-Sep-78,100,Western,Hy Averback,Juanita Bartlett,"James Garner, Charles Frank, Jack Kelly","Gambling brothers Bret (James Garner) and Bart Maverick (Jack Kelly) are, as usual, hot on the trail of a fast buck when they find themselves partnered with the eager-but-inexperienced Ben Maverick (Charles Frank, son of their Bri...",English,United States,275,6.3
tt0079157,The Flame Is Love,movie,1979,15-Oct-79,104,"Drama, Romance",Michael O'Herlihy,"Hindi Brooks, Barbara Cartland","Linda Purl, Timothy Dalton, Shane Briant","Linda Purl is a turn-of-the-century American heiress who, while en route to her betrothal to an English Duke (Timothy Dalton), encounters love and intrigue in the arms of a French journalist (Shane Briant).",English,United States,86,4.5
tt0079955,Stortjuven,movie,1979,12-Feb-79,91,Drama,Ingegerd Hellner,Ronnie Busk,"Tonie Melcher, Mark Bäck, Christer Löwenhamn","Peter, 13, lives with his mother and brother Göran in a Stockholm suburb. He often skip school. After committing a theft in the classroom Peter is transferred to another school. His problems escalate.",Swedish,Sweden,30,5.7
tt0080541,Clara and the Why Not,movie,1981,14-Jan-81,110,"Comedy, Drama, Music",Jacques Monnet,Jean-Loup Dabadie,"Isabelle Adjani, Daniel Auteuil, Josiane Balasko","Three days in the lives of six friends who are nearly 30 years old, live in Grenoble, and have a rock band called the ""Why Notes?"". They're to play in Paris at Charles's school reunion. In getting to Paris and back, the characters...",French,France,502,5.7
tt0080788,The Ghosts of Buxley Hall,movie,1980,21-Dec-80,93,"Comedy, Family, Fantasy",Bruce Bilson,"Sy Gomberg, Rick Mittleman","Dick O'Neill, Victor French, Louise Latham",Ghosts and a young cadet try to save a military academy from being closed.,English,United States,382,5.6
tt0080907,The Hunter,movie,1980,01-Aug-80,97,"Action, Biography, Comedy",Buzz Kulik,"Ted Leighton, Peter Hyams, Christopher Keane","Steve McQueen, Eli Wallach, Kathryn Harrold","Bounty hunter Ralph ""Papa"" Thorson is receiving death threats from a criminal he helped put away. This while his girlfriend is about to give birth, an event he isn't looking forward to.",English,United States,"7,317",6.2
tt0081007,Der Komantsche,movie,1979,28-Sep-79,84,Comedy,Herbert Achternbusch,Herbert Achternbusch,"Herbert Achternbusch, Franz Baumgartner, Annamirl Bierbichler","Achternbusch's tragic comedy begins with the figure of the Comanche (Achternbusch) lying comatose in a large country sanatorium, where he is the last surviving patient. Refusing to wake up to a loveless world, the Comanche prefers...",German,West Germany,24,6.5
tt0081334,Phobia,movie,1980,26-Sep-80,91,"Drama, Horror, Thriller",John Huston,"Lew Lehman, Jimmy Sangster, Peter Bellwood","Paul Michael Glaser, Susan Hogan, John Colicos","A psychiatrist involved in a radical new therapy comes under suspicion when his patients are murdered, each according to their individual phobias.",English,Canada,885,4.3
tt0081606,Taxi to the Toilet,movie,1980,09-Jan-81,98,"Comedy, Drama, Romance",Frank Ripploh,Frank Ripploh,"Frank Ripploh, Bernd Broaderup, Orpha Termin","Frank Ripploh is a rascal: he is a shaggy-haired, bearded teacher who is gay and has a very active sex life plus an interest in making films. He keeps his personal life separate from his personal life, though sometimes he corrects...","German, English, French",West Germany,"1,798",6.5
tt0081706,The True Story of the Nun of Monza,movie,1980,03-Jul-80,93,Drama,Bruno Mattei,Claudio Fragasso,"Zora Kerova, Mario Cutini, Paola Corazzi",Sister Virginia becomes the new Mother Superior at the convent of Monza. Debauched priest Don Arrigone and lecherous womanizer Giampaolo Osio plot to seduce sister Virginia by any means necessary.,Italian,"Italy, France",361,4.8
tt0082239,The Day the Loving Stopped,movie,1981,16-Oct-81,100,Drama,Daniel Mann,"Liz Coe, Julue Autumn List","Dominique Dunne, Valerie Harper, Dennis Weaver",A teen reacts to her parents' divorce along with her older sister who is about to be married.,English,United States,71,6.8
tt0083291,Mad Foxes,movie,1981,14-Aug-81,80,"Action, Horror, Thriller",Paul Grau,"Hans R. Walthard, Paul Grau, Melvin Quiñones","José Gras, Laura Premica, Andrea Albani",A man seeks revenge after a biker gang murders his family.,Spanish,"Spain, Switzerland","1,033",5.1
tt0083320,The Lite Trap,movie,1982,01-Oct-82,104,"Romance, Thriller",Niklaus Schilling,Niklaus Schilling,"Armin Mueller-Stahl, Beatrice Kessler, Melanie Tressler","Germany, 1981. State Security Service agent Harald Love is sent on a secret mission from the GDR to the Federal Republic, to verify an informant with the code name ""Heinz"" who is suspected to be a double agent. A job that may chan...",German,West Germany,69,6.4
tt0083960,Forced Vengeance,movie,1982,30-Jul-82,90,"Action, Adventure, Crime",James Fargo,"Franklin Thompson, James Fargo","Chuck Norris, Mary Louise Weller, Camila Griggs",A casino security guard is forced into violence from when the Hong Kong mob threatens his friends.,English,"United States, Hong Kong","3,519",5.5
tt0084441,Omero,movie,1982,06-Sep-82,100,Comedy,Adalberto Fornario,"Sal Angelo, Adalberto Fornario","Sal Angelo, Valentina Cely, Mimmo Barbarito","Omero, a former teacher who has just retired, decides to leave Rome, where he taught for 30 years and to get back to Sicily, the place where he was born. Alice, his eight year old grand-daughter, goes with him: she wants to visit ...",Italian,Italy,9,6
tt0085270,"Botas negras, látigo de cuero",movie,1983,24-Jan-83,89,"Action, Crime, Drama",Jesús Franco,Jesús Franco,"Lina Romay, Antonio Mayans, Asunción Calero",Al Pereira is hired by a married woman to retrieve compromising photos .,Spanish,Spain,159,4.9
tt0085599,Glykia symmoria,movie,1983,19-Oct-83,154,"Crime, Drama, Thriller",Nikos Nikolaidis,Nikos Nikolaidis,"Despina Tomazani, Dora Masklavanou, Takis Moshos","A band of handsome Athenian pariahs waiting for a miracle have a fateful encounter with the ever-present state instead. And as the law's suffocating stranglehold tightens around them, the shotguns have the final say.",Greek,Greece,"1,748",7.4
tt0086306,P. P. Rider,movie,1983,11-Feb-83,118,"Adventure, Comedy, Drama",Shinji Sômai,"Takuya Nishioka, Chieko Schrader, Leonard Schrader","Tatsuya Fuji, Michiko Kawai, Masatoshi Nagase","Three high-school students tangle with the Yakuza and the police as they set out in search of the class bully, who has been kidnapped.",Japanese,Japan,170,6.6
tt0086881,Amarsi un po'...,movie,1984,05-Oct-84,93,"Comedy, Romance",Carlo Vanzina,"Carlo Vanzina, Enrico Vanzina","Claudio Amendola, Tahnee Welch, Virna Lisi","In an accident the young mechanic Marco Coccia meets Cristiana. The two fall in love with one another. Cristiana confesses only later that she is a genuine princess. For Marco it is not a problem, but for Cristiana's parents it is...",Italian,Italy,176,5.7
tt0087052,Chinese Boxes,movie,1984,29-Nov-84,87,"Crime, Mystery, Thriller",Christopher Petit,"L.M. Kit Carson, Christopher Petit","Will Patton, Gottfried John, Adelheid Arndt",An American (Will Patton) in West Berlin finds himself caught up in murder and intrigue after his associate is killed and a diplomat's daughter is found dead in his room.,English,"United Kingdom, West Germany",103,5
tt0087909,Phenomena,movie,1985,02-Aug-85,116,"Crime, Horror, Mystery",Dario Argento,"Dario Argento, Franco Ferrini","Jennifer Connelly, Donald Pleasence, Daria Nicolodi","A young girl who has an amazing ability to communicate with insects is transferred to an exclusive Swiss boarding school, where her unusual capability might help solve a string of murders.","English, Italian, Swiss German, Danish","Italy, Switzerland","31,021",6.7
tt0088126,Homecoming,movie,1984,08-Apr-85,96,Drama,Ho Yim,Liang Kong,"Josephine Koo, Siqin Gaowa, Weixiang Xie","Coral, a Hong Kong woman tortured by city life, returns to her hometown to visit her two old friends. They all find that some precious things in life that disappear through the years can never be recovered.","Mandarin, Cantonese","Hong Kong, China",193,7.2
tt0088752,Attack of the Beast Creatures,movie,1985,12-Jul-85,82,Horror,Michael Stanley,Robert A. Hutton,"Robert Nolfi, Julia Rust, Robert Lengyel","Survivors of a shipwreck wash up on an island, and run into small vicious creatures.",English,United States,760,4.3
tt0089055,Dressage,movie,1986,16-Apr-86,98,"Comedy, Drama",Pierre B. Reinhard,"Jean-Philippe Berger, Jean-Claude Roy","Véronique Catanzaro, Patrick Guillemin, Marc Henry","At a decadent 1930s party, two young women make a bet with a Baron to corrupt two innocent teenagers in order to ruin their families' reputation.",French,France,202,4.9
tt0089114,Explorers,movie,1985,12-Jul-85,109,"Adventure, Comedy, Family",Joe Dante,Eric Luke,"Ethan Hawke, River Phoenix, Bobby Fite","A boy obsessed with '50s sci-fi movies about aliens has a recurring dream about a blueprint of some kind, which he draws for his inventor friend. With the help of a third kid, they follow it and build themselves a spaceship. Now w...","English, German",United States,"24,210",6.4
tt0089212,Going for the Gold: The Bill Johnson Story,movie,1985,08-May-85,104,"Biography, Drama, Sport",Don Taylor,"Elizabeth A. Bardsley, Maxwell Pitt","Anthony Edwards, Sarah Jessica Parker, Deborah Van Valkenburgh",The true story of the first U.S. men's skiing gold medal winner. Bill Johnson is a cocky young adult who dreams of being on the U.S. Olympic Ski Team as a downhill racer. Trouble with the law and a rebellious attitude almost cost ...,English,"United Kingdom, Yugoslavia, United States",86,5.9
tt0089889,Reckless Disregard,movie,1985,17-Mar-85,120,"Crime, Drama",Harvey Hart,Charles S. Haas,"Tess Harper, Leslie Nielsen, Ronny Cox","Meredith Craig is lawyer who has a small practice. She is then approached by a Dr. Lucas who is a doctor at a clinic, who was exposed on a television news program as writing prescriptions for drugs in exchange for money. He says t...",English,United States,83,5.5
tt0090257,My Sweet Little Village,movie,1985,09-Jan-87,98,Comedy,Jirí Menzel,Zdenek Sverák,"János Bán, Marián Labuda, Rudolf Hrusínský",The life of a small village runs on its own.,Czech,Czechoslovakia,"4,922",7.8
tt0090894,Blood Ties,movie,1986,14-Dec-86,125,"Crime, Drama",Giacomo Battiato,"Corrado Augias, Giacomo Battiato, Robert Katz","Brad Davis, Tony Lo Bianco, Vincent Spano","An innocent American engineer is blackmailed by gangsters into a plot to assassinate his cousin, who is a judge in Sicily fighting the Mafia.","Italian, English","Italy, United States",138,6.1
tt0090956,Eastern Condors,movie,1987,09-Jul-87,93,"Action, Adventure, War",Sammo Kam-Bo Hung,Barry Wong,"Sammo Kam-Bo Hung, Biao Yuen, Haing S. Ngor","A group of Asian prisoners is recruited, trained, armed and sent to Vietnam to destroy a cache of American weapons left behind after the Vietnam War, before the Vietcong discovers its location.","Cantonese, English",Hong Kong,"3,000",7.1
tt0091325,Kangaroo,movie,1986,13-Mar-87,108,Drama,Tim Burstall,"Evan Jones, D.H. Lawrence","Colin Friels, Judy Davis, John Walton","A mild-mannered English conscientious objector moves to what he feels will be the relative calm of Australia after World War I, but gets caught in the middle of violent battles between the rising trade unions and fascist groups.",English,"Australia, Canada",275,6.2
tt0092421,Ondskans år,movie,1987,18-Feb-87,170,Drama,Humberto López y Guerra,"Anderz Harning, Humberto López y Guerra","Lars-Erik Berenett, Sture Djerf, Märta Dorff","Våren 1944 -- med gengas, flyktingar och svensk hemmanazism. Elvaåringen Ragnar växer upp i ett hem där föräldrarna ser fram mot ett nazistiskt maktövertagande även i Sverige. Han får stryk vid minsta tecken på olydnad men beröm o...",Swedish,Sweden,20,6.9
tt0094144,Thunder III,movie,1988,13-Aug-88,90,"Action, Adventure, Drama",Fabrizio De Angelis,"Fabrizio De Angelis, Dardano Sacchetti","Mark Gregory, John Phillip Law, Horst Schön","Pacifist Native American warrior, Thunder, takes on a racist militia in Las Cruces, New Mexico, after they refuse to pay $53.000 in damages for attacking and abusing him and his people and destroying their property.",Italian,"Italy, West Germany",226,4.3
tt0094187,The Trouble with Dick,movie,1987,01-Jan-87,86,"Comedy, Sci-Fi",Gary Walkow,"Paul Freedman, Gary Walkow","Tom Villard, Susan Dey, Elaine Giftos","Sci-Fi author is plagued by his publisher's demands to add more sex to his new novel, sexual advances of his girl's sexy best friend and her daughter and hallucinations in which the novel's hero faces desert parasites and alien vi...",English,United States,145,5.4
tt0094835,Captive Rage,movie,1988,08-Sep-89,99,"Action, Drama",Cedric Sundstrom,"Rick Marx, Cedric Sundstrom, Harry Alan Towers","Oliver Reed, Robert Vaughn, Claudia Udy",An innocent group of college girls become the pawns in a deadly game of revenge when a South American cocaine baron retaliates against the chief of an American intelligence agency for jailing his son on drug charges.,English,South Africa,401,3.9
tt0094869,The Chocolate War,movie,1988,18-Nov-88,104,Drama,Keith Gordon,"Robert Cormier, Keith Gordon","John Glover, Ilan Mitchell-Smith, Wallace Langham",The Vigils are a gang of students at Trinity Catholic School... part of the tradition. They control the other boys by intimidation and the threat of violence.,English,United States,"2,497",6.6
tt0094878,The Road Home,movie,1988,22-Aug-88,97,"Drama, War",Jerzy Kaszubowski,Jerzy Kaszubowski,"Rafal Synówka, Jerzy Binczycki, Marzena Trybala","During the Second World War, tens of thousands of blonde, blue-eyed Polish children were snatched from their parents and given to German families. Lebensborn was part of Hitler's plan to expand the Aryan master race within the Thi...","Polish, German, English",Poland,21,6.1
tt0095234,Going to the Chapel,movie,1988,09-Oct-88,96,Comedy,Paul Lynch,Erik Tarloff,"Mark Linn-Baker, Wendy Kilbourne, Michele Greene","A couple (Valentine and Greene) are about to get married. And all sorts of uninvited and unexpected guests arrive; like the groom's former live-in partner (Kilbourne), and his natural father (Van Patten). And it also appears that ...",English,United States,118,6.2
tt0095424,Kalamazoo,movie,1988,15-May-88,88,"Fantasy, Romance",André Forcier,"André Forcier, Jacques Marcotte","Tony Nardi, Daniel Brière, Rémy Girard","Âgé d'une soixantaine d'années, seul, puceau, réduit à s'écrire des lettres enflammées, Félix Cotnoir est un desperado de l'amour, un être en état de quête perpétuelle. À force de trop vouloir aimer, Félix Cotnoir est encore pucea...",French,Canada,50,5.6
tt0095584,"Manika, une vie plus tard",movie,1989,14-Jun-89,106,Drama,François Villiers,"Jean-Pierre Gibrat, Brian Phelan, François Villiers","Ayesha Dharker, Julian Sands, Stéphane Audran","A young girl who lives in an Indian fishing village believes that she has lived before, and a teacher helps her find out the truth.","English, French","France, Switzerland",76,6.8
tt0095687,My Stepmother Is an Alien,movie,1988,09-Dec-88,105,"Comedy, Sci-Fi",Richard Benjamin,"Jerico Stone, Herschel Weingrod, Timothy Harris","Dan Aykroyd, Kim Basinger, Jon Lovitz",A creature from another planet tries to seduce a shy Earth physicist to gain control over his researches. The result of this important mission much exceeded her expectations.,English,United States,"28,115",5.4
tt0096030,Salsa,movie,1988,06-May-88,97,"Music, Romance",Boaz Davidson,"Boaz Davidson, Eli Tavor, Tomás Benitez","Draco Rosa, Rodney Harvey, Magali Alvarado","As a young East Los Angeles Latino pursues his dream of becoming a great Salsa dancer, he is enraged to learn that his little sister is romantically involved with his best friend.",English,United States,"1,295",4.8
tt0096925,Big Man on Campus,movie,1989,14-Jan-92,105,"Comedy, Fantasy",Jeremy Kagan,Allan Katz,"Allan Katz, Corey Parker, Cindy Williams","A college student and his girlfriend discover a mentally challenged hunchback living in the campus' bell tower. After a psychologist vouches for his ability to learn, he's made to go through tests, with help from the student couple.",English,United States,"1,693",6
tt0097101,Comédie d'amour,movie,1989,01-Nov-89,89,Comedy,Jean-Pierre Rawson,"Paul Léautaud, Hélène Doering, Robert Kuperberg","Michel Serrault, Annie Girardot, Aurore Clément","Writer with proverbial misanthropy, Paul Léautaud lives only for literature and its cats, despising and mistreating those around him, rare and almost exclusively female.",French,France,57,6.2
tt0097351,Field of Dreams,movie,1989,05-May-89,107,"Drama, Family, Fantasy",Phil Alden Robinson,"W.P. Kinsella, Phil Alden Robinson","Kevin Costner, James Earl Jones, Ray Liotta","Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",English,United States,"1,31,885",7.5
tt0097579,An Innocent Man,movie,1989,06-Oct-89,113,"Action, Crime, Drama",Peter Yates,Larry Brothers,"Tom Selleck, F. Murray Abraham, Laila Robins","A man is framed by two corrupt cops for drugs. After he gets out of prison, he comes after them.",English,United States,"7,801",6.5
tt0099523,Evil Spirits,movie,1991,07-Apr-94,95,Horror,Gary Graver,Mikel Angel,"Karen Black, Arte Johnson, Virginia Mayo","A strange woman runs a boardinghouse whose tenants--mostly misfits and others who won't be missed--begin dying off or simply disappearing. She still cashes their government benefit checks even after they're gone, and it turns out ...",English,United States,342,4.5
tt0099557,Fear,movie,1990,08-Mar-91,90,"Mystery, Thriller",Rockne S. O'Bannon,Rockne S. O'Bannon,"Ally Sheedy, Lauren Hutton, Michael O'Keefe",Psychic Cayce Bridges helps police solve murders by mentally linking with the murderer. Then she discovers a murderer with the same talent - who wants to share the fear of his victims with her.,English,United States,"1,426",6
tt0099800,House Party,movie,1990,09-Mar-90,100,"Comedy, Music",Reginald Hudlin,Reginald Hudlin,"Christopher Reid, Robin Harris, Christopher Martin","Kid decides to go to his friend Play's house party, but neither of them can predict what's in store for them on what could be the wildest night of their lives.",English,United States,"17,053",6.5
tt0100396,Potyautasok,movie,1990,12-Apr-90,94,Drama,Sándor Söth,"Géza Bereményi, Sándor Söth","Laura Favali, Karl Tessler, Luke Mullaney","1982, Budapest. Two 18-year-old Hungarian boys think Hungary is boring so they decide to travel to Poland and have a real adventure. Their plan to escape to Sweden fails and they find themselves in a Polish prison.",Hungarian,Hungary,16,6.6
tt0100430,The Psychic,movie,1991,20-May-92,92,"Horror, Thriller",George Mihalka,"Mark McQuade Crawford, William Crawford, Miguel Tejada-Flores","Zach Galligan, Catherine Mary Stewart, Michael Nouri",The college student Patrick Costello shares an apartment with his childhood friend Nick and has a crush on his professor Laurel Young. Patrick has premonitions through dreams and daydreams since he was a kid and recently he is for...,English,Canada,394,5.1
tt0100665,Soultaker,movie,1990,12-Feb-93,94,"Fantasy, Horror",Michael Rissi,"Vivian Schilling, Eric Parkinson","Joe Estevez, Vivian Schilling, Gregg Thomsen","Four teenagers are killed in a car accident. Two of the teenagers refuse to go with ""The Grim Reaper"" and a race between life and death ensues!",English,United States,"3,959",2.5
tt0101012,Jue biu yat juk,movie,1990,01-Mar-90,94,"Comedy, Crime, Drama",Wah-Kei Wong,Joyce Mak,"Alex Man, Jacky Cheung, Woon-Jing Shin",A scam artist cheats 50-some odd police officers in a thought out plan that proves prosperous.,"Cantonese, Mandarin",Hong Kong,33,5
tt0102876,Sensou to seishun,movie,1991,14-Sep-91,112,"Drama, Romance, War",Tadashi Imai,Katsumoto Saotome,"Yûki Kudô, Yumiko Fujita, Hisashi Igawa","An auto repairman's daughter questions him about what happened to her aunt during the war, but the father remains reticent. Finally the man opens up, and the girl is able to piece together her aunt's tragic story.",Japanese,Japan,47,6.2
tt0102943,Slacker,movie,1990,05-Jul-91,97,"Comedy, Drama",Richard Linklater,Richard Linklater,"Richard Linklater, Rudy Basquez, Jean Caffeine","A day in the life of Austin, Texas as the camera roams from place to place and provides a brief look at the overeducated, the social misfits, the outcasts and the oddballs.",English,United States,"24,059",7
tt0103143,Twenty-One,movie,1991,04-Oct-91,92,Drama,Don Boyd,"Zoë Heller, Don Boyd","Patsy Kensit, Jack Shepherd, Patrick Ryecart","Katie is a free spirited independently minded 21-year-old girl. The film follows her as she reflects on the men in her life. Along the way we meet her drug addict boyfriend Bobby, her lover Jack, close friend Baldy, and her father.",English,"United Kingdom, United States",545,5.2
tt0104658,L.627,movie,1992,09-Sep-92,145,"Crime, Drama, Thriller",Bertrand Tavernier,"Michel Alexandre, Bertrand Tavernier","Didier Bezace, Jean-Paul Comart, Charlotte Kady",Relentless struggle of the Parisian police against the drug trade.,French,France,"2,194",7.2
tt0104695,Leap of Faith,movie,1992,18-Dec-92,108,"Comedy, Drama, Romance",Richard Pearce,Janus Cercone,"Steve Martin, Debra Winger, Lolita Davidovich",Fake faith healer Jonas Nightingale is stranded in a small town where he finds he can't fool all of the people all of the time.,English,United States,"15,138",6.1
tt0104706,Lessons of Darkness,movie,1992,26-Oct-02,54,"Documentary, War",Werner Herzog,Werner Herzog,Werner Herzog,"This film surveys the disaster of the Kuwaiti oil fields in flames, with little narration and scarcely any interviews. Hell on Earth is presented in such transcendent visions and music that one can only be fascinated by it.","German, Arabic","Germany, France, Spain, United Kingdom","6,953",8
tt0104899,Vintage Model,movie,1992,04-Sep-92,95,"Drama, Family, Romance",Raúl Araiza,"Consuelo Garrido, Erik Krohnengald, Alejandro Pelayo","Silvia Pinal, Alonso Echánove, Daniela Durán","Carmen is fond of astrology and conducts her own program of romantic advice on the radio. However, she lives trapped in her own time and in her past.",Spanish,Mexico,52,6.9
